title,past_price,current_price,discount,price_shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
"Lenovo ThinkPad T14s Gen 2 AMD Laptop, 14.0"" FHD IPS  300 nits, Ryzen 5 Pro 5650U,  AMD Radeon Graphics, 8GB, 256GB, Win 10 Pro","$1,187.40",$899.00 (2 Offers)–,Save: 24%,Free Shipping
